total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
7,NA,NA,KONOTOP Kamila,8724,2001-03-23,23.4,W,UKR,A,58.85,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,104,-106,-106,104,123,-129,-132,123,227
8,NA,NA,GOMEZ VALDIVIA Janeth,5894,1997-10-26,26.8,W,MEX,A,59,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-92,92,95,95,114,119,122,122,217
9,NA,NA,TCHAKOUNTE Dora Meiriama,16477,1995-03-23,29.4,W,FRA,A,58.85,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,95,98,-100,98,115,-118,NA,115,213
10,NA,NA,SASSER Mathlynn Langtor,14940,1996-12-25,27.6,W,MHL,A,58.95,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-94,-94,94,94,110,115,-118,115,209
11,NA,NA,MAGISTRIS Lucrezia,10081,1999-04-21,25.3,W,ITA,A,59,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-96,96,-100,96,-111,-112,112,112,208
NA,NA,NA,ALVAREZ CAICEDO Yenny Fernanda,1034,1995-05-24,29.2,W,COL,A,59,59 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,101,103,105,105,-130,-132,-132,NA,NA
1,NA,NA,LI Fabin,9475,1993-01-15,31.6,M,CHN,A,61,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,137,140,143,143,-167,167,-172,167,310
2,NA,NA,SILACHAI Theerapong,15478,2003-11-19,20.7,M,THA,A,60.9,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,127,130,132,132,167,169,171,171,303
3,NA,NA,MORRIS Hampton Miller,11384,2004-02-17,20.5,M,USA,A,61,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,122,-125,126,126,-168,172,-178,172,298
4,NA,NA,MOHAMAD ANIQ Bin Kasdan,11138,2002-06-16,22.1,M,MAS,A,60.9,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,126,-130,130,130,167,-174,-174,167,297
5,NA,NA,BARU Morea,1953,1990-04-15,34.3,M,PNG,A,61,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,118,-122,-122,118,150,157,161,161,279
6,NA,NA,MISHVELIDZE Shota,11067,1994-10-18,29.8,M,GEO,A,61,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,114,121,-128,121,125,135,-150,135,256
7,NA,NA,ERATI Kaimauri,4872,2004-06-13,20.2,M,KIR,A,60.6,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,95,-100,100,100,-120,120,-124,120,220
NA,NA,NA,CENIZA John Febuar,3115,1998-02-07,26.5,M,PHI,A,60.75,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-125,-125,-125,NA,NA,NA,NA,NA,NA
NA,NA,NA,TRINH Van Vinh,16821,1995-12-17,28.6,M,VIE,A,60.95,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-128,-128,-128,NA,NA,NA,NA,NA,NA
NA,NA,NA,MASSIDDA Sergio,10537,2002-01-26,22.5,M,ITA,A,61,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-132,-134,-134,NA,NA,NA,NA,NA,NA
NA,NA,NA,IRAWAN Eko Yuli,7287,1989-07-24,35,M,INA,A,61,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-135,135,-139,135,-162,-162,-165,NA,NA
NA,NA,NA,DIMOV Ivan Petkov,4375,2002-12-04,21.7,M,BUL,A,61,61 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-134,-134,-135,NA,NA,NA,NA,NA,NA
1,NA,NA,REEVES Olivia Lynn,13871,2003-04-19,21.3,W,USA,A,71,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,112,115,117,117,140,145,-150,145,262
2,NA,NA,SANCHEZ PERINAN Mari Leivis,14784,1991-10-08,32.8,W,COL,A,70.45,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,108,-112,112,112,135,140,145,145,257
3,NA,NA,PALACIOS DAJOMES Angie Paola,12685,2000-09-12,23.9,W,ECU,A,70.6,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,110,114,116,116,135,138,140,140,256
4,NA,NA,VALODZKA Siuzanna,17213,2000-08-17,24,W,AIN,A,70.2,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,108,111,-113,111,135,-140,-142,135,246
5,NA,NA,FEGUE Marie Josephe,5140,1991-05-28,33.2,W,FRA,A,71,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-110,110,-114,110,-132,133,-138,133,243
6,NA,NA,CHEN Wen-Huei,3340,1997-02-23,27.5,W,TPE,A,70.5,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-102,103,-106,103,133,-139,-140,133,236
