rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,ROBU Marin,MDA,"Mar 19, 2000",88.90,A,200,208,-212,208,89kgMen,CleanJerk,604,False
---,JAVADI ALIABADI Mir Mostafa,IRI,"Jun 22, 2000",88.80,A,204,-217,-217,204,89kgMen,CleanJerk,604,False
---,YU Dongju,KOR,"Aug 19, 1993",89.00,A,203,-211,-217,203,89kgMen,CleanJerk,604,False
---,VALLENILLA SANCHEZ Keydomar Giovanni,VEN,"Oct 08, 1999",88.65,A,190,196,-200,196,89kgMen,CleanJerk,604,False
---,KARAPETYAN Andranik,ARM,"Dec 15, 1995",88.90,A,200,-210,-215,200,89kgMen,CleanJerk,604,False
---,IMADOUCHENE Romain Jordan Sebastien,FRA,"Sep 05, 1995",89.00,A,-195,196,-204,196,89kgMen,CleanJerk,604,False
---,BRUCE Kyle John Ryan Christopher P,AUS,"Jul 12, 1999",86.45,A,-182,182,-188,182,89kgMen,CleanJerk,604,False
---,ABOKAHLA Karim Ibrahim Ibrahim Ali,EGY,"Nov 11, 1996",89.00,A,---,---,---,---,89kgMen,CleanJerk,604,False
---,SANTAVY Boady Robert,CAN,"May 22, 1997",89.00,A,-186,-187,-188,---,89kgMen,CleanJerk,604,False
---,LOPEZ LOPEZ Yeison,COL,"Jan 09, 1999",88.20,A,-205,205,210,210,89kgMen,CleanJerk,604,False
1,NASAR Karlos May,BUL,"May 12, 2004",88.40,A,180,224,404,---,89kgMen,Total,604,False
2,LOPEZ LOPEZ Yeison,COL,"Jan 09, 1999",88.20,A,180,210,390,---,89kgMen,Total,604,False
3,PIZZOLATO Antonino,ITA,"Aug 20, 1996",89.00,A,172,212,384,---,89kgMen,Total,604,False
4,ROBU Marin,MDA,"Mar 19, 2000",88.90,A,175,208,383,---,89kgMen,Total,604,False
5,JAVADI ALIABADI Mir Mostafa,IRI,"Jun 22, 2000",88.80,A,168,204,372,---,89kgMen,Total,604,False
6,YU Dongju,KOR,"Aug 19, 1993",89.00,A,168,203,371,---,89kgMen,Total,604,False
7,KARAPETYAN Andranik,ARM,"Dec 15, 1995",88.90,A,170,200,370,---,89kgMen,Total,604,False
8,VALLENILLA SANCHEZ Keydomar Giovanni,VEN,"Oct 08, 1999",88.65,A,162,196,358,---,89kgMen,Total,604,False
9,IMADOUCHENE Romain Jordan Sebastien,FRA,"Sep 05, 1995",89.00,A,155,196,351,---,89kgMen,Total,604,False
10,BRUCE Kyle John Ryan Christopher P,AUS,"Jul 12, 1999",86.45,A,148,182,330,---,89kgMen,Total,604,False
