rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
3,JAMALI BOULAAYOUN Ismail,ESP,"Feb 12, 2003",72.90,A,136,138,140,140,73kgMen,Snatch,579,False
4,ABASHIDZE Saba,GEO,"Nov 02, 2004",72.80,A,132,137,139,139,73kgMen,Snatch,579,False
5,POGHOSYAN Martin,ARM,"Jul 30, 2005",72.60,A,130,-135,136,136,73kgMen,Snatch,579,False
6,KHARAZISHVILI Giorgi,GEO,"Nov 28, 2003",72.90,A,130,-134,134,134,73kgMen,Snatch,579,False
7,KOLESNYK Serhii,UKR,"Jan 05, 2004",73.00,A,131,133,-135,133,73kgMen,Snatch,579,False
8,GALLART LECHON Kilian,ESP,"Dec 25, 2004",72.75,A,120,125,128,128,73kgMen,Snatch,579,False
9,UJVARI Lajos,HUN,"Apr 23, 2004",73.00,B,120,125,127,127,73kgMen,Snatch,579,False
10,SCHMITT Riccardo,GER,"Jan 25, 2003",72.75,A,117,121,125,125,73kgMen,Snatch,579,False
11,PONOMARENKO Yaroslav,UKR,"Nov 30, 2005",73.00,A,115,120,-123,120,73kgMen,Snatch,579,False
12,MARINOVSKY Tomer,ISR,"Jun 09, 2003",72.65,B,114,116,-118,116,73kgMen,Snatch,579,False
13,STEFANOV Petyo,BUL,"Sep 24, 2006",72.50,B,115,-120,-121,115,73kgMen,Snatch,579,False
14,KLINGER Jonas,AUT,"Sep 18, 2006",72.60,B,107,112,115,115,73kgMen,Snatch,579,False
15,LAGJA Sajmir,ALB,"May 04, 2004",71.95,B,-110,110,112,112,73kgMen,Snatch,579,False
16,KLIAMPAS Ioannis,GRE,"May 15, 2003",72.10,B,110,-113,-113,110,73kgMen,Snatch,579,False
17,KOKKO Juuso Benjamin,FIN,"Nov 23, 2004",72.25,B,-107,107,-113,107,73kgMen,Snatch,579,False
18,AUNE Rasmus Heggvik,NOR,"Jan 13, 2005",72.35,B,102,105,107,107,73kgMen,Snatch,579,False
---,TODOROVIC Nikola,CRO,"Apr 26, 2005",72.45,B,-115,-115,-115,---,73kgMen,Snatch,579,False
1,POGHOSYAN Martin,ARM,"Jul 30, 2005",72.60,A,165,170,172,172,73kgMen,CleanJerk,579,False
2,SAHAKYAN Gor,ARM,"Sep 01, 2003",69.80,A,171,-177,-177,171,73kgMen,CleanJerk,579,False
3,KHARAZISHVILI Giorgi,GEO,"Nov 28, 2003",72.90,A,163,168,171,171,73kgMen,CleanJerk,579,False
4,DONOSE Tiberiu Ionut,ROU,"May 12, 2005",72.85,A,164,170,-172,170,73kgMen,CleanJerk,579,False
5,SCHMITT Riccardo,GER,"Jan 25, 2003",72.75,A,161,-166,166,166,73kgMen,CleanJerk,579,False
6,JAMALI BOULAAYOUN Ismail,ESP,"Feb 12, 2003",72.90,A,165,-169,-170,165,73kgMen,CleanJerk,579,False
7,KOLESNYK Serhii,UKR,"Jan 05, 2004",73.00,A,162,-168,-169,162,73kgMen,CleanJerk,579,False
8,PONOMARENKO Yaroslav,UKR,"Nov 30, 2005",73.00,A,156,160,-163,160,73kgMen,CleanJerk,579,False
9,UJVARI Lajos,HUN,"Apr 23, 2004",73.00,B,150,155,-157,155,73kgMen,CleanJerk,579,False
10,STEFANOV Petyo,BUL,"Sep 24, 2006",72.50,B,142,144,151,151,73kgMen,CleanJerk,579,False
11,GALLART LECHON Kilian,ESP,"Dec 25, 2004",72.75,A,150,-155,-155,150,73kgMen,CleanJerk,579,False
12,KLINGER Jonas,AUT,"Sep 18, 2006",72.60,B,136,141,143,143,73kgMen,CleanJerk,579,False
13,AUNE Rasmus Heggvik,NOR,"Jan 13, 2005",72.35,B,132,135,139,139,73kgMen,CleanJerk,579,False
14,KOKKO Juuso Benjamin,FIN,"Nov 23, 2004",72.25,B,130,134,138,138,73kgMen,CleanJerk,579,False
15,MARINOVSKY Tomer,ISR,"Jun 09, 2003",72.65,B,-133,134,137,137,73kgMen,CleanJerk,579,False
16,KLIAMPAS Ioannis,GRE,"May 15, 2003",72.10,B,-136,-136,136,136,73kgMen,CleanJerk,579,False
17,LAGJA Sajmir,ALB,"May 04, 2004",71.95,B,135,-140,-140,135,73kgMen,CleanJerk,579,False
18,TODOROVIC Nikola,CRO,"Apr 26, 2005",72.45,B,130,-135,-135,130,73kgMen,CleanJerk,579,False
---,ABASHIDZE Saba,GEO,"Nov 02, 2004",72.80,A,-160,-160,-160,---,73kgMen,CleanJerk,579,False
1,DONOSE Tiberiu Ionut,ROU,"May 12, 2005",72.85,A,146,170,316,---,73kgMen,Total,579,False
2,SAHAKYAN Gor,ARM,"Sep 01, 2003",69.80,A,140,171,311,---,73kgMen,Total,579,False
3,POGHOSYAN Martin,ARM,"Jul 30, 2005",72.60,A,136,172,308,---,73kgMen,Total,579,False
4,JAMALI BOULAAYOUN Ismail,ESP,"Feb 12, 2003",72.90,A,140,165,305,---,73kgMen,Total,579,False
5,KHARAZISHVILI Giorgi,GEO,"Nov 28, 2003",72.90,A,134,171,305,---,73kgMen,Total,579,False
6,KOLESNYK Serhii,UKR,"Jan 05, 2004",73.00,A,133,162,295,---,73kgMen,Total,579,False
7,SCHMITT Riccardo,GER,"Jan 25, 2003",72.75,A,125,166,291,---,73kgMen,Total,579,False
8,UJVARI Lajos,HUN,"Apr 23, 2004",73.00,B,127,155,282,---,73kgMen,Total,579,False
9,PONOMARENKO Yaroslav,UKR,"Nov 30, 2005",73.00,A,120,160,280,---,73kgMen,Total,579,False
10,GALLART LECHON Kilian,ESP,"Dec 25, 2004",72.75,A,128,150,278,---,73kgMen,Total,579,False
11,STEFANOV Petyo,BUL,"Sep 24, 2006",72.50,B,115,151,266,---,73kgMen,Total,579,False
12,KLINGER Jonas,AUT,"Sep 18, 2006",72.60,B,115,143,258,---,73kgMen,Total,579,False
13,MARINOVSKY Tomer,ISR,"Jun 09, 2003",72.65,B,116,137,253,---,73kgMen,Total,579,False
14,LAGJA Sajmir,ALB,"May 04, 2004",71.95,B,112,135,247,---,73kgMen,Total,579,False
15,KLIAMPAS Ioannis,GRE,"May 15, 2003",72.10,B,110,136,246,---,73kgMen,Total,579,False
16,AUNE Rasmus Heggvik,NOR,"Jan 13, 2005",72.35,B,107,139,246,---,73kgMen,Total,579,False
17,KOKKO Juuso Benjamin,FIN,"Nov 23, 2004",72.25,B,107,138,245,---,73kgMen,Total,579,False
---,TODOROVIC Nikola,CRO,"Apr 26, 2005",72.45,B,---,130,---,---,73kgMen,Total,579,False
---,ABASHIDZE Saba,GEO,"Nov 02, 2004",72.80,A,139,---,---,---,73kgMen,Total,579,False
1,ASANIDZE Saba,GEO,"Apr 07, 2003",80.90,A,141,144,147,147,81kgMen,Snatch,579,False
2,ESARTIA Nikoloz,GEO,"Mar 25, 2005",80.30,A,-138,138,142,142,81kgMen,Snatch,579,False
3,MUELLER Lucas,GER,"Jul 31, 2003",80.60,A,138,-142,142,142,81kgMen,Snatch,579,False
4,LAZUGA Konrad,POL,"Feb 03, 2003",77.55,A,133,137,139,139,81kgMen,Snatch,579,False
5,ABRAHAMYAN Mnatsakan,ARM,"Aug 29, 2003",80.90,A,135,138,-141,138,81kgMen,Snatch,579,False
6,FEKECS Szilard,HUN,"Feb 05, 2004",81.00,A,-137,137,-142,137,81kgMen,Snatch,579,False
7,SAINI Rishabh,GER,"Sep 29, 2005",80.80,B,121,126,130,130,81kgMen,Snatch,579,False
8,HAUTANIEMI Eetu Matias,FIN,"Jun 11, 2005",80.90,B,124,127,-130,127,81kgMen,Snatch,579,False
9,SAMULIAK Stepan,UKR,"Mar 13, 2005",77.25,B,120,124,126,126,81kgMen,Snatch,579,False
10,LIEVANZOV Mark,UKR,"Sep 03, 2004",78.95,A,126,-129,-129,126,81kgMen,Snatch,579,False
11,KOSHERSKI Hristo,BUL,"Dec 24, 2004",80.50,B,120,125,-128,125,81kgMen,Snatch,579,False
12,TANASOIU Mihaita Constantin,ROU,"Jun 22, 2005",75.70,A,125,-131,-131,125,81kgMen,Snatch,579,False
13,KREJCIK Vojtech,CZE,"Aug 02, 2004",79.90,A,123,-128,-128,123,81kgMen,Snatch,579,False
14,DA SILVA Romain,FRA,"Feb 03, 2005",80.05,B,117,-121,122,122,81kgMen,Snatch,579,False
15,MARIUTA Ion,MDA,"Sep 15, 2006",79.95,B,-120,120,-125,120,81kgMen,Snatch,579,False
16,URBANS Madis,LAT,"May 25, 2006",79.95,B,116,-120,-121,116,81kgMen,Snatch,579,False
17,MODREY Luca,AUT,"Apr 14, 2005",80.65,B,110,-115,115,115,81kgMen,Snatch,579,False
18,DINU Bogdan Gabriel,ROU,"Mar 18, 2003",80.95,B,-110,110,-115,110,81kgMen,Snatch,579,False
1,ASANIDZE Saba,GEO,"Apr 07, 2003",80.90,A,175,180,-184,180,81kgMen,CleanJerk,579,False
2,ABRAHAMYAN Mnatsakan,ARM,"Aug 29, 2003",80.90,A,-175,175,-180,175,81kgMen,CleanJerk,579,False
3,MUELLER Lucas,GER,"Jul 31, 2003",80.60,A,170,-174,175,175,81kgMen,CleanJerk,579,False
4,LIEVANZOV Mark,UKR,"Sep 03, 2004",78.95,A,165,-171,172,172,81kgMen,CleanJerk,579,False
5,FEKECS Szilard,HUN,"Feb 05, 2004",81.00,A,166,-170,171,171,81kgMen,CleanJerk,579,False
6,ESARTIA Nikoloz,GEO,"Mar 25, 2005",80.30,A,168,-174,-174,168,81kgMen,CleanJerk,579,False
7,LAZUGA Konrad,POL,"Feb 03, 2003",77.55,A,161,166,-170,166,81kgMen,CleanJerk,579,False
8,KOSHERSKI Hristo,BUL,"Dec 24, 2004",80.50,B,150,157,-163,157,81kgMen,CleanJerk,579,False
9,SAINI Rishabh,GER,"Sep 29, 2005",80.80,B,152,157,-161,157,81kgMen,CleanJerk,579,False
10,SAMULIAK Stepan,UKR,"Mar 13, 2005",77.25,B,148,152,155,155,81kgMen,CleanJerk,579,False
11,MODREY Luca,AUT,"Apr 14, 2005",80.65,B,147,-152,152,152,81kgMen,CleanJerk,579,False
12,HAUTANIEMI Eetu Matias,FIN,"Jun 11, 2005",80.90,B,150,-157,-157,150,81kgMen,CleanJerk,579,False
13,MARIUTA Ion,MDA,"Sep 15, 2006",79.95,B,145,-150,150,150,81kgMen,CleanJerk,579,False
14,TANASOIU Mihaita Constantin,ROU,"Jun 22, 2005",75.70,A,150,-160,-165,150,81kgMen,CleanJerk,579,False
15,KREJCIK Vojtech,CZE,"Aug 02, 2004",79.90,A,148,-153,-153,148,81kgMen,CleanJerk,579,False
16,URBANS Madis,LAT,"May 25, 2006",79.95,B,143,147,-150,147,81kgMen,CleanJerk,579,False
17,DA SILVA Romain,FRA,"Feb 03, 2005",80.05,B,-145,145,-152,145,81kgMen,CleanJerk,579,False
18,DINU Bogdan Gabriel,ROU,"Mar 18, 2003",80.95,B,140,-145,---,140,81kgMen,CleanJerk,579,False
1,ASANIDZE Saba,GEO,"Apr 07, 2003",80.90,A,147,180,327,---,81kgMen,Total,579,False
2,MUELLER Lucas,GER,"Jul 31, 2003",80.60,A,142,175,317,---,81kgMen,Total,579,False
