athlete_id,name,name_alt,date_of_birth,gender,nations
15770,SURENJAV Bayarbat,NA,1986-07-09,M,MGL
13913,ROININEN Teemu Tapio,NA,1986-07-10,M,FIN
4457,DUER Thomas H,NA,1986-07-11,M,USA
7464,JOMAR Napolereyes,NA,1986-07-13,M,PHI
8237,KIM Song Chol,NA,1986-07-13,M,PRK
9247,LI Li,NA,1986-07-13,W,CHN
8841,KYAW Moe Win,NA,1986-07-15,M,MYA
16986,VICTOR Abilash Christopher,NA,1986-07-15,M,IND
15328,SNETHEN Heather,NA,1986-07-18,W,USA
12806,PG DATO SETIA YUSOF Ak Yusri Amir,NA,1986-07-19,M,BRU
14484,SANSOM James,NA,1986-07-19,M,USA
4122,DENG Jianying,NA,1986-07-19,W,CHN
11763,NISHANT Nitish Kumar,NA,1986-07-20,M,IND
2690,BYRD Katey,NA,1986-07-20,W,IRL
11349,MVOUKANI Rod,NA,1986-07-21,M,CGO
14836,SETIAWAN Budi,NA,1986-07-21,M,INA
4449,DUDIN Aleksei,NA,1986-07-22,M,KGZ
1639,BAARSPUL Renee,NA,1986-07-22,W,NZL
3569,COJOM PAC DE ANDRES Elida Magdalena,NA,1986-07-22,W,GUA
16910,VEGA MORALES Geralee,NA,1986-07-22,W,"USA, PUR"
14682,SCHWARZBACH Tom,NA,1986-07-23,M,GER
16796,VALLE Luis,NA,1986-07-25,M,GUA
5621,GILSDORF Emma,NA,1986-07-26,W,USA
7357,JEONG Jae-Hoon,NA,1986-07-27,M,KOR
11779,NJUE Esther Wawira,NA,1986-07-28,W,KEN
746,ALHATEM Abdulla,NA,1986-08-02,M,KUW
16835,VANEGA RIOS Javier Enrique,NA,1986-08-02,M,CUB
11894,NURULLAEV Salamat,NA,1986-08-03,M,UZB
11720,NICOLAIESCU Mariana,NA,1986-08-04,W,ROU
17723,YOON Jin Hee,NA,1986-08-04,W,KOR
63,ABDELFATTAH Khalid,NA,1986-08-06,M,EGY
6156,HAEKAL Khalid,NA,1986-08-06,M,EGY
38,ABD RASHID Abdul Azim Najmi,NA,1986-08-07,M,MAS
5288,FUKUMINE Yuya,NA,1986-08-07,M,JPN
16043,TASHEV Anani,NA,1986-08-10,M,BUL
10990,MOMYNBEKOV Miskander,NA,1986-08-12,M,KGZ
9173,LENDZIOSZEK Mateusz,NA,1986-08-14,M,POL
2689,BYRD Cathal,NA,1986-08-15,M,IRL
4520,DZELEPOV Stoycho,NA,1986-08-17,M,BUL
8713,KUCZYNSKI Damian Lukasz,NA,1986-08-18,M,POL
6158,HAERI JAOBI Parisa,NA,1986-08-18,W,AUS
6684,HONG Yong Ok,NA,1986-08-19,W,PRK
16426,TRIFONOV Nikolay,NA,1986-08-21,M,BUL
3204,CHEN Guoping,NA,1986-08-21,W,CHN
